term,Label
 js confirm,0
%0A,0
180*2+170*2,0
180*2+170*2,0
21000/3600,0
3player,0
3utools,0
3utools,0
API api.popululation,0
API python tạo gui ,0
Bên phải,0
Bên phải%0A,0
Bệnh viện%0A,0
Census Bureau API free,0
Chip dragon 665,0
Cơ cấu giải thưởng FFWS SEA Spring 2024,0
FB,0
FB,0
FPT Durian,0
GET https://api.football-data.org/v4/matches,0
GUI java,0
GUI java,0
Giao diện hệ điều hành lunux,0
Giao diện hệ điều hành lunux,0
Giao diện trang web,0
Giải đấu ff bảng giá tiền thưởng,1
Gợi ý dựa trên lịch sử tìm kiếm code python,0
Hủy là hội viện của kênh youtobe,0
Hủy tự động gia hạn ytb android,0
Hủy tự động gia hạn ytb android kênh,0
Jquery-confirm,0
Jquery-confirm,0
Jquery-confirm,0
Jquery-confirm,0
Keyword not supported: 'trust server certificate sql connext visral,0
Khoa điện tử,0
Khoa điện tử TNUT,0
Khoa điện tử TNUT,0
Láº%C2%ADu 6:gate.kpahz.pr,0
Lỗi khi ghép phiên bản,0
Mua Máy giặt,1
Mua Tivi,1
Mua sim,1
Nhà%0A,0
Shoppee,1
Tao ảnh bìa online,0
Tao ảnh bìa online,0
Taok ảnh bìa online,0
Tiếng Tinh edit video,0
"Tên fiel phân biệt chữ hoa , chữ thường",0
Tên file phân biệt chữ hoa chữ thường,0
Tên file phân biệt chữ hoa chữ thường,0
Tạo ảnh bìa FB,0
Tạo ảnh bìa FB,0
Viết cấu trúc sql trả về json,0
WIN SCP,0
WIN SCP,0
Xuyên Không Thanh Niên Lười Biếng Tu Luyện Chỉ Biết Ăn Và Nằm Bị Cả Môn Phái Coi Thường P77,0
Xuyên ko vào gia dinh vip pro,0
YouTube,0
YouTube,0
acme tolls,0
angelchip emulator,0
angelchip emulator,0
anhr gai biki,0
anhr gai biki,0
anime,0
anime hay,0
anime hay,0
animehay rv,0
animehay rv,0
aoi gold world fre,0
api football,0
api football,0
api gold,0
api gold free,0
api gold free,0
api gold free,0
api gold world fre,0
api gold world fre,0
api gold world fre,0
api goldfish,0
api key maps free,0
api key maps free,0
api về dân số 2024,0
api weather api,0
api weather api,0
b,0
buff fl tiktok,0
bênh viện,0
bệnh viện,0
canva,0
chat gpt,0
chat gpt,0
chuột không thao tác click dc win10,0
chuột không thao tác click dc win10,0
chuột nhấn giữ thay vì click,0
chuột nhấn giữ thay vì click,0
chỉnh sửa mic lapyop sao cho ghi âm ko nghe tiếng quạt,0
chỉnh sửa mic lapyop sao cho ghi âm ko nghe tiếng quạt,0
chỉnh độ sáng obs studio,0
chỉnh độ sáng obs studio,0
cloud camera fpt,0
cloud camera fpt,0
cloud server giá rẻ phù hợp,1
cloud server giá rẻ phù hợp,1
cloudfly,0
cloudfly,0
code api nodejs,0
code game java ,0
